year,age,0,1,2,3,4,Total
1950,,14,13,44,19,10,100
1951,,15,13,43,19,10,100
1952,,15,12,44,19,10,100
1953,,15,12,43,19,10,99
1954,,16,12,42,19,10,99
,,,,,,,
1955,,16,13,41,19,10,99
1956,,17,13,40,19,11,100
1957,,18,12,40,19,11,100
1958,,18,13,39,19,11,100
1959,,19,12,39,19,11,100
,,,,,,,
1960,,19,12,38,20,11,100
1961,,20,12,38,20,10,100
1962,,20,13,37,20,10,100
1963,,21,12,38,19,10,100
1964,,21,12,38,19,9,99
,,,,,,,
1965,,21,13,38,18,10,100
1966,,20,14,38,18,10,100
1967,,20,15,37,18,10,100
1968,,19,17,37,18,10,101
1969,,19,17,37,17,10,100
,,,,,,,
1970,,18,18,37,17,10,100
1971,,18,18,37,17,10,100
1972,,19,18,36,16,10,99
1973,,19,18,36,16,10,99
1974,,19,18,37,16,10,100
,,,,,,,
1975,,19,17,37,16,10,99
1976,,18,18,37,16,11,100
1977,,17,18,38,17,10,100
1978,,17,18,38,17,10,100
,,,,,,,
1920,43,21,21,27,16,15,100
1921,,18,22,28,16,15,99
1922,,18,22,28,16,15,99
1923,,17,23,28,17,16,101
1924,,17,23,28,16,16,100
,,,,,,,
1925,,17,22,28,17,16,100
1926,,16,21,29,17,17,100
1927,,16,21,28,17,18,100
1928,,15,20,29,18,18,100
1929,,15,19,29,18,19,100
,,,,,,,
1930,,13,18,30,19,20,100
1931,,14,18,30,19,20,101
1932,,14,17,30,19,20,100
1933,,13,16,31,20,20,100
1934,,11,16,32,21,20,100
,,,,,,,
1935,,12,15,32,21,20,100
1936,,12,15,32,22,19,100
1937,,12,14,33,22,19,100
1938,,11,14,34,22,19,100
1939,,12,13,35,22,18,100
,,,,,,,
1940,,11,13,36,22,18,100
1941,,11,13,37,22,17,100
1942,,11,13,38,22,15,99
1943,,12,12,40,21,14,99
1944,,11,13,42,21,13,100
,,,,,,,
1945,,10,14,43,21,12,100
1946,,9,14,44,21,12,100
1947,,13,14,43,20,11,101
1948,,11,13,45,20,10,99
1949,,13,13,44,20,10,100
,,,,,,,
1950,,14,13,44,20,10,101
1951,,15,13,43,19,10,100
1952,,15,12,44,19,10,100
1953,,15,12,43,19,10,99
1954,,16,12,42,19,10,99
,,,,,,,
1955,,16,13,41,19,10,99
1956,,17,12,41,19,11,100
1957,,17,12,40,20,11,100
1958,,18,13,39,19,11,100
1959,,19,12,39,20,11,101
,,,,,,,
1960,,19,12,38,20,11,100
1961,,20,12,38,20,10,100
1962,,20,13,37,20,10,100
1963,,20,12,38,19,10,99
1964,,21,12,38,19,10,100
,,,,,,,
1965,,20,13,38,18,10,99
1966,,20,14,38,18,10,100
1967,,20,15,37,18,10,100
1968,,18,17,37,18,10,100
1969,,18,17,37,18,10,100
,,,,,,,
1970,,18,18,37,17,10,100
1971,,18,18,37,17,10,100
1972,,19,18,37,17,10,101
1973,,19,18,37,16,10,100
1974,,18,18,37,16,11,100
,,,,,,,
1975,,19,17,37,16,11,100
1976,,18,17,38,16,11,100
1977,,17,18,38,17,10,100
,,,,,,,
1920,44,21,21,27,16,15,100
1921,,18,22,28,16,15,99
1922,,18,22,28,16,15,99
1923,,17,23,28,17,16,101
1924,,17,23,28,16,16,100
,,,,,,,
1925,,17,22,28,17,16,100
1926,,16,21,29,17,17,100
1927,,16,21,28,17,18,100
1928,,15,20,29,18,18,100
1929,,15,19,29,18,19,100
,,,,,,,
1930,,13,18,30,19,20,100
1931,,14,18,30,19,20,101
1932,,14,17,30,19,20,100
1933,,13,16,31,20,20,100
1934,,11,16,32,21,20,100
,,,,,,,
1935,,12,15,32,21,20,100
1936,,12,15,32,22,19,100
1937,,12,14,33,22,19,100
1938,,11,14,34,22,19,100
1939,,12,13,35,22,18,100
,,,,,,,
1940,,11,13,36,22,18,100
1941,,11,13,37,22,17,100
1942,,11,13,38,22,16,100
1943,,12,12,40,21,14,99
1944,,11,13,42,21,13,100
,,,,,,,
1945,,10,14,43,21,12,100
1946,,9,14,44,21,12,100
1947,,13,14,43,20,11,101
1948,,11,13,45,20,10,99
1949,,13,13,44,20,10,100
,,,,,,,
1950,,14,13,44,20,10,101
1951,,15,13,43,19,10,100
1952,,15,12,44,19,10,100
1953,,15,12,43,19,10,99
1954,,16,12,42,19,10,99
,,,,,,,
1955,,16,13,41,19,10,99
1956,,17,12,41,19,11,100
1957,,17,12,40,20,11,100
1958,,18,13,39,19,11,100
1959,,19,12,39,20,11,101
,,,,,,,
1960,,19,12,38,20,11,100
1961,,20,12,38,20,10,100
1962,,20,13,37,20,10,100
1963,,20,12,38,20,10,100
1964,,20,12,38,19,10,99
,,,,,,,
1965,,20,13,38,19,10,100
1966,,20,14,38,18,10,100
1967,,20,15,37,18,10,100
1968,,18,17,37,18,10,100
1969,,18,17,37,18,10,100
,,,,,,,
1970,,18,18,37,17,10,100
1971,,18,18,37,17,10,100
1972,,19,18,37,17,10,101
1973,,19,18,37,16,10,100
1974,,18,18,37,16,11,100
,,,,,,,
1975,,18,17,37,16,11,99
1976,,18,17,38,17,11,101
,,,,,,,
1920,45,21,21,27,16,15,100
1921,,18,22,28,16,15,99
1922,,18,22,28,16,15,99
1923,,17,23,28,17,16,101
1924,,17,23,28,16,16,100
,,,,,,,
1925,,17,22,28,17,16,100
1926,,16,21,29,17,17,100
1927,,16,21,28,17,18,100
1928,,15,20,29,18,18,100
1929,,15,19,29,18,19,100
,,,,,,,
1930,,13,18,30,19,20,100
1931,,14,18,30,19,20,101
1932,,14,17,30,19,20,100
1933,,13,16,31,20,20,100
1934,,11,16,32,21,20,100
,,,,,,,
1935,,12,15,32,21,20,100
1936,,12,15,32,22,19,100
1937,,12,14,33,22,19,100
1938,,11,14,34,22,19,100
1939,,12,13,35,22,18,100
,,,,,,,
1940,,11,13,36,22,18,100
1941,,11,13,37,22,17,100
1942,,11,13,38,22,16,100
1943,,12,12,40,21,15,100
1944,,11,13,42,21,13,100
,,,,,,,
1945,,10,14,43,21,12,100
1946,,9,14,44,21,12,100
1947,,12,14,43,20,11,100
1948,,11,13,44,20,11,99
1949,,13,13,44,20,11,101
,,,,,,,
1950,,14,13,44,20,10,101
1951,,14,13,43,19,10,99
1952,,14,12,44,19,10,99
1953,,15,12,43,19,10,99
1954,,16,12,42,19,10,99
,,,,,,,
1955,,16,13,41,19,11,100
1956,,17,12,41,19,11,100
1957,,17,12,40,20,11,100
1958,,18,13,39,19,11,100
1959,,19,12,39,20,11,101
,,,,,,,
1960,,19,12,38,20,11,100
1961,,20,12,38,20,10,100
1962,,20,13,37,20,10,100
1963,,20,12,38,20,10,100
1964,,20,12,38,19,10,99
,,,,,,,
1965,,20,13,38,19,10,100
1966,,20,14,38,18,10,100
1967,,20,15,37,18,10,100
1968,,18,17,37,18,10,100
1969,,18,17,37,18,10,100
,,,,,,,
1970,,17,18,37,17,10,99
1971,,18,18,37,17,10,100
1972,,19,18,37,17,10,101
1973,,19,18,37,16,10,100
1974,,18,18,37,16,11,100
,,,,,,,
1975,,18,17,37,16,11,99
,,,,,,,
1920,Final3,21,21,27,16,15,100
1921,,18,22,28,16,15,99
1922,,18,22,28,16,15,99
1923,,16,23,28,17,16,100
1924,,17,22,28,16,16,99
,,,,,,,
1925,,17,22,28,17,16,100
1926,,16,21,29,17,17,100
1927,,16,21,28,17,18,100
1928,,15,20,29,18,18,100
1929,,15,19,29,18,19,100
,,,,,,,
1930,,13,18,30,19,20,100
1931,,14,18,30,19,20,101
1932,,14,17,30,19,20,100
1933,,13,16,31,20,20,100
1934,,11,16,32,21,20,100
,,,,,,,
1935,,12,15,32,21,20,100
1936,,12,15,32,22,20,101
1937,,12,14,33,22,19,100
1938,,11,14,34,22,19,100
1939,,12,13,35,22,18,100
,,,,,,,
1940,,11,13,36,22,18,100
1941,,11,13,37,22,17,100
1942,,11,13,38,22,16,100
1943,,12,12,40,21,15,100
1944,,11,13,42,21,13,100
,,,,,,,
1945,,10,14,43,21,12,100
1946,,9,14,44,21,12,100
1947,,12,14,43,20,11,100
1948,,11,13,44,20,11,99
1949,,13,13,44,20,11,101
,,,,,,,
1950,,14,13,44,20,10,101
1951,,14,13,43,19,10,99
1952,,14,12,44,19,10,99
1953,,15,12,43,19,10,99
1954,,16,12,42,19,10,99
,,,,,,,
1955,,16,13,41,19,11,100
1956,,17,12,41,19,11,100
1957,,17,12,40,20,11,100
1958,,18,13,39,19,11,100
1959,,19,12,39,20,11,101
,,,,,,,
1960,,19,12,38,20,11,100
1961,,20,12,38,20,10,100
1962,,20,13,37,20,10,100
1963,,20,12,38,20,10,100
1964,,20,12,38,19,10,99
,,,,,,,
1965,,20,13,38,19,10,100
1966,,20,14,38,18,10,100
1967,,19,15,37,18,10,99
1968,,18,17,37,18,10,100
1969,,18,17,37,18,10,100
,,,,,,,
1970,,17,18,37,17,10,99
1971,,18,18,37,17,10,100
1972,,18,18,37,17,10,100
1973,,19,18,37,16,10,100
1974,,18,18,37,16,11,100
